Fecha,Vacunados acumulados 1° dosis,Vacunados acumulados 2° dosis,Vacunados acumulados unica dosis,Vacunados acumulados dosis de refuerzo,Vacunados acumulados 4° dosis
2020-06-07,,,,,
2020-06-08,,,,,
2020-06-09,,,,,
2020-06-10,,,,,
2020-06-11,,,,,
2020-06-12,,,,,
2020-06-13,,,,,
2020-06-14,,,,,
2020-06-15,,,,,
2020-06-16,,,,,
2020-06-17,,,,,
2020-06-18,,,,,
2020-06-19,,,,,
2020-06-20,,,,,
2020-06-21,,,,,
2020-06-22,,,,,
2020-06-23,,,,,
2020-06-24,,,,,
2020-06-25,,,,,
2020-06-26,,,,,
2020-06-27,,,,,
2020-06-28,,,,,
2020-06-29,,,,,
2020-06-30,,,,,
2020-07-01,,,,,
2020-07-02,,,,,
2020-07-03,,,,,
2020-07-04,,,,,
2020-07-05,,,,,
2020-07-06,,,,,
2020-07-07,,,,,
2020-07-08,,,,,
2020-07-09,,,,,
2020-07-10,,,,,
2020-07-11,,,,,
2020-07-12,,,,,
2020-07-13,,,,,
2020-07-14,,,,,
2020-07-15,,,,,
2020-07-16,,,,,
2020-07-17,,,,,
2020-07-18,,,,,
2020-07-19,,,,,
2020-07-20,,,,,
2020-07-21,,,,,
2020-07-22,,,,,
2020-07-23,,,,,
2020-07-24,,,,,
2020-07-25,,,,,
2020-07-26,,,,,
2020-07-27,,,,,
2020-07-28,,,,,
2020-07-29,,,,,
2020-07-30,,,,,
2020-07-31,,,,,
2020-08-01,,,,,
2020-08-02,,,,,
2020-08-03,,,,,
2020-08-04,,,,,
2020-08-05,,,,,
2020-08-06,,,,,
2020-08-07,,,,,
2020-08-08,,,,,
2020-08-09,,,,,
2020-08-10,,,,,
2020-08-11,,,,,
2020-08-12,,,,,
2020-08-13,,,,,
2020-08-14,,,,,
2020-08-15,,,,,
2020-08-16,,,,,
2020-08-17,,,,,
2020-08-18,,,,,
2020-08-19,,,,,
2020-08-20,,,,,
2020-08-21,,,,,
2020-08-22,,,,,
2020-08-23,,,,,
2020-08-24,,,,,
2020-08-25,,,,,
2020-08-26,,,,,
2020-08-27,,,,,
2020-08-28,,,,,
2020-08-29,,,,,
2020-08-30,,,,,
2020-08-31,,,,,
2020-09-01,,,,,
2020-09-02,,,,,
2020-09-03,,,,,
2020-09-04,,,,,
2020-09-05,,,,,
2020-09-06,,,,,
2020-09-07,,,,,
2020-09-08,,,,,
2020-09-09,,,,,
2020-09-10,,,,,
2020-09-11,,,,,
2020-09-12,,,,,
2020-09-13,,,,,
2020-09-14,,,,,
2020-09-15,,,,,
2020-09-16,,,,,
2020-09-17,,,,,
2020-09-18,,,,,
2020-09-19,,,,,
2020-09-20,,,,,
2020-09-21,,,,,
2020-09-22,,,,,
2020-09-23,,,,,
2020-09-24,,,,,
2020-09-25,,,,,
2020-09-26,,,,,
2020-09-27,,,,,
2020-09-28,,,,,
2020-09-29,,,,,
2020-09-30,,,,,
2020-10-01,,,,,
2020-10-02,,,,,
2020-10-03,,,,,
2020-10-04,,,,,
2020-10-05,,,,,
2020-10-06,,,,,
2020-10-07,,,,,
2020-10-08,,,,,
2020-10-09,,,,,
2020-10-10,,,,,
2020-10-11,,,,,
2020-10-12,,,,,
2020-10-13,,,,,
2020-10-14,,,,,
2020-10-15,,,,,
2020-10-16,,,,,
2020-10-17,,,,,
2020-10-18,,,,,
2020-10-19,,,,,
2020-10-20,,,,,
2020-10-21,,,,,
2020-10-22,,,,,
2020-10-23,,,,,
2020-10-24,,,,,
2020-10-25,,,,,
2020-10-26,,,,,
2020-10-27,,,,,
2020-10-28,,,,,
2020-10-29,,,,,
2020-10-30,,,,,
2020-10-31,,,,,
2020-11-01,,,,,
2020-11-02,,,,,
2020-11-03,,,,,
2020-11-04,,,,,
2020-11-05,,,,,
2020-11-06,,,,,
2020-11-07,,,,,
2020-11-08,,,,,
2020-11-09,,,,,
2020-11-10,,,,,
2020-11-11,,,,,
2020-11-12,,,,,
2020-11-13,,,,,
2020-11-14,,,,,
2020-11-15,,,,,
2020-11-16,,,,,
2020-11-17,,,,,
2020-11-18,,,,,
2020-11-19,,,,,
2020-11-20,,,,,
2020-11-21,,,,,
2020-11-22,,,,,
2020-11-23,,,,,
2020-11-24,,,,,
2020-11-25,,,,,
2020-11-26,,,,,
2020-11-27,,,,,
2020-11-28,,,,,
2020-11-29,,,,,
2020-11-30,,,,,
2020-12-01,,,,,
2020-12-02,,,,,
2020-12-03,,,,,
2020-12-04,,,,,
2020-12-05,,,,,
2020-12-06,,,,,
2020-12-07,,,,,
2020-12-08,,,,,
2020-12-09,,,,,
2020-12-10,,,,,
2020-12-11,,,,,
2020-12-12,,,,,
2020-12-13,,,,,
2020-12-14,,,,,
2020-12-15,,,,,
2020-12-16,,,,,
2020-12-17,,,,,
2020-12-18,,,,,
2020-12-19,,,,,
2020-12-20,,,,,
2020-12-21,,,,,
2020-12-22,,,,,
2020-12-23,,,,,
2020-12-24,0.0,0.0,0.0,0.0,0.0
2020-12-25,0.0,0.0,0.0,0.0,0.0
2020-12-26,0.0,0.0,0.0,0.0,0.0
2020-12-27,0.0,0.0,0.0,0.0,0.0
2020-12-28,0.0,0.0,0.0,0.0,0.0
2020-12-29,0.0,0.0,0.0,0.0,0.0
2020-12-30,0.0,0.0,0.0,0.0,0.0
2020-12-31,0.0,0.0,0.0,0.0,0.0
2021-01-01,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0
2021-01-05,120.0,0.0,0.0,0.0,0.0
2021-01-06,160.0,0.0,0.0,0.0,0.0
2021-01-07,160.0,0.0,0.0,0.0,0.0
2021-01-08,160.0,0.0,0.0,0.0,0.0
2021-01-09,160.0,0.0,0.0,0.0,0.0
2021-01-10,160.0,0.0,0.0,0.0,0.0
2021-01-11,160.0,0.0,0.0,0.0,0.0
2021-01-12,160.0,0.0,0.0,0.0,0.0
2021-01-13,160.0,0.0,0.0,0.0,0.0
2021-01-14,160.0,0.0,0.0,0.0,0.0
2021-01-15,160.0,0.0,0.0,0.0,0.0
2021-01-16,160.0,0.0,0.0,0.0,0.0
2021-01-17,160.0,0.0,0.0,0.0,0.0
2021-01-18,160.0,0.0,0.0,0.0,0.0
2021-01-19,160.0,0.0,0.0,0.0,0.0
2021-01-20,160.0,0.0,0.0,0.0,0.0
2021-01-21,160.0,0.0,0.0,0.0,0.0
2021-01-22,160.0,0.0,0.0,0.0,0.0
2021-01-23,160.0,0.0,0.0,0.0,0.0
2021-01-24,160.0,0.0,0.0,0.0,0.0
2021-01-25,160.0,0.0,0.0,0.0,0.0
2021-01-26,160.0,152.0,0.0,0.0,0.0
2021-01-27,160.0,157.0,0.0,0.0,0.0
2021-01-28,160.0,157.0,0.0,0.0,0.0
2021-01-29,160.0,157.0,0.0,0.0,0.0
2021-01-30,160.0,157.0,0.0,0.0,0.0
2021-01-31,160.0,157.0,0.0,0.0,0.0
2021-02-01,160.0,157.0,0.0,0.0,0.0
2021-02-02,334.0,157.0,0.0,0.0,0.0
2021-02-03,2499.0,157.0,0.0,0.0,0.0
2021-02-04,4515.0,157.0,0.0,0.0,0.0
2021-02-05,6932.0,157.0,0.0,0.0,0.0
2021-02-06,7472.0,157.0,0.0,0.0,0.0
2021-02-07,7472.0,157.0,0.0,0.0,0.0
2021-02-08,10866.0,157.0,0.0,0.0,0.0
2021-02-09,14868.0,157.0,0.0,0.0,0.0
2021-02-10,19681.0,157.0,0.0,0.0,0.0
2021-02-11,23998.0,157.0,0.0,0.0,0.0
2021-02-12,28215.0,157.0,0.0,0.0,0.0
2021-02-13,28386.0,157.0,0.0,0.0,0.0
2021-02-14,28386.0,157.0,0.0,0.0,0.0
2021-02-15,33617.0,157.0,0.0,0.0,0.0
2021-02-16,38452.0,157.0,0.0,0.0,0.0
2021-02-17,41933.0,157.0,0.0,0.0,0.0
2021-02-18,44134.0,157.0,0.0,0.0,0.0
2021-02-19,46279.0,157.0,0.0,0.0,0.0
2021-02-20,46388.0,157.0,0.0,0.0,0.0
2021-02-21,46388.0,157.0,0.0,0.0,0.0
2021-02-22,47963.0,158.0,0.0,0.0,0.0
2021-02-23,49677.0,158.0,0.0,0.0,0.0
2021-02-24,52052.0,158.0,0.0,0.0,0.0
2021-02-25,54201.0,159.0,0.0,0.0,0.0
2021-02-26,55713.0,159.0,0.0,0.0,0.0
2021-02-27,55786.0,159.0,0.0,0.0,0.0
2021-02-28,55786.0,159.0,0.0,0.0,0.0
2021-03-01,57691.0,159.0,0.0,0.0,0.0
2021-03-02,59603.0,291.0,0.0,0.0,0.0
2021-03-03,61313.0,2219.0,0.0,0.0,0.0
2021-03-04,63095.0,4148.0,0.0,0.0,0.0
2021-03-05,65091.0,6417.0,0.0,0.0,0.0
2021-03-06,65201.0,6925.0,0.0,0.0,0.0
2021-03-07,65201.0,6925.0,0.0,0.0,0.0
2021-03-08,67080.0,10154.0,0.0,0.0,0.0
2021-03-09,68809.0,14048.0,0.0,0.0,0.0
2021-03-10,70380.0,18585.0,0.0,0.0,0.0
2021-03-11,72508.0,22666.0,0.0,0.0,0.0
2021-03-12,74665.0,26787.0,0.0,0.0,0.0
2021-03-13,74867.0,26990.0,0.0,0.0,0.0
2021-03-14,74867.0,26990.0,0.0,0.0,0.0
2021-03-15,77157.0,32048.0,0.0,0.0,0.0
2021-03-16,79694.0,37459.0,0.0,0.0,0.0
2021-03-17,82045.0,42330.0,0.0,0.0,0.0
2021-03-18,84436.0,45985.0,0.0,0.0,0.0
2021-03-19,87016.0,48673.0,0.0,0.0,0.0
2021-03-20,87255.0,48835.0,0.0,0.0,0.0
2021-03-21,87255.0,48835.0,0.0,0.0,0.0
2021-03-22,89650.0,50702.0,0.0,0.0,0.0
2021-03-23,92081.0,51788.0,0.0,0.0,0.0
2021-03-24,94759.0,52754.0,0.0,0.0,0.0
2021-03-25,96994.0,53534.0,0.0,0.0,0.0
2021-03-26,99717.0,54409.0,0.0,0.0,0.0
2021-03-27,99821.0,54462.0,0.0,0.0,0.0
2021-03-28,99821.0,54462.0,0.0,0.0,0.0
2021-03-29,102291.0,56050.0,0.0,0.0,0.0
2021-03-30,104446.0,57749.0,0.0,0.0,0.0
2021-03-31,106439.0,59395.0,0.0,0.0,0.0
2021-04-01,108369.0,61524.0,0.0,0.0,0.0
2021-04-02,108397.0,61525.0,0.0,0.0,0.0
2021-04-03,108425.0,61525.0,0.0,0.0,0.0
2021-04-04,108465.0,61527.0,0.0,0.0,0.0
2021-04-05,110286.0,64482.0,0.0,0.0,0.0
2021-04-06,112442.0,66448.0,0.0,0.0,0.0
2021-04-07,114626.0,68242.0,0.0,0.0,0.0
2021-04-08,116317.0,70202.0,0.0,0.0,0.0
2021-04-09,117964.0,71821.0,0.0,0.0,0.0
2021-04-10,118112.0,71955.0,0.0,0.0,0.0
2021-04-11,118140.0,71957.0,0.0,0.0,0.0
2021-04-12,120228.0,74385.0,0.0,0.0,0.0
2021-04-13,121979.0,76906.0,0.0,0.0,0.0
2021-04-14,123815.0,79250.0,0.0,0.0,0.0
2021-04-15,125470.0,81436.0,0.0,0.0,0.0
2021-04-16,127481.0,83774.0,0.0,0.0,0.0
2021-04-17,127676.0,83945.0,0.0,0.0,0.0
2021-04-18,127733.0,83945.0,0.0,0.0,0.0
2021-04-19,129735.0,86550.0,0.0,0.0,0.0
2021-04-20,131833.0,89080.0,0.0,0.0,0.0
2021-04-21,133631.0,91541.0,0.0,0.0,0.0
2021-04-22,135075.0,93349.0,0.0,0.0,0.0
2021-04-23,136458.0,95199.0,0.0,0.0,0.0
2021-04-24,136699.0,95335.0,0.0,0.0,0.0
2021-04-25,136712.0,95336.0,0.0,0.0,0.0
2021-04-26,138193.0,98300.0,0.0,0.0,0.0
2021-04-27,139705.0,100357.0,0.0,0.0,0.0
2021-04-28,141536.0,102414.0,0.0,0.0,0.0
2021-04-29,142624.0,104316.0,0.0,0.0,0.0
2021-04-30,143742.0,105029.0,0.0,0.0,0.0
2021-05-01,143832.0,105053.0,0.0,0.0,0.0
2021-05-02,143937.0,105082.0,0.0,0.0,0.0
2021-05-03,145652.0,106753.0,0.0,0.0,0.0
2021-05-04,147078.0,108572.0,0.0,0.0,0.0
2021-05-05,148479.0,110065.0,0.0,0.0,0.0
2021-05-06,149707.0,112046.0,0.0,0.0,0.0
2021-05-07,150973.0,113595.0,0.0,0.0,0.0
2021-05-08,151670.0,113941.0,0.0,0.0,0.0
2021-05-09,151740.0,113941.0,0.0,0.0,0.0
2021-05-10,153343.0,115923.0,0.0,0.0,0.0
2021-05-11,154920.0,117636.0,0.0,0.0,0.0
2021-05-12,156543.0,119127.0,0.0,0.0,0.0
2021-05-13,157930.0,120668.0,0.0,0.0,0.0
2021-05-14,159528.0,122398.0,0.0,0.0,0.0
2021-05-15,159570.0,122400.0,0.0,0.0,0.0
2021-05-16,159574.0,122400.0,0.0,0.0,0.0
2021-05-17,161191.0,124450.0,0.0,0.0,0.0
2021-05-18,162830.0,126509.0,0.0,0.0,0.0
2021-05-19,164311.0,128520.0,0.0,0.0,0.0
2021-05-20,165831.0,130468.0,0.0,0.0,0.0
2021-05-21,165929.0,130512.0,0.0,0.0,0.0
2021-05-22,166626.0,130822.0,0.0,0.0,0.0
2021-05-23,166741.0,130847.0,0.0,0.0,0.0
2021-05-24,169874.0,132634.0,0.0,0.0,0.0
2021-05-25,173159.0,134276.0,0.0,0.0,0.0
2021-05-26,176167.0,135902.0,0.0,0.0,0.0
2021-05-27,178660.0,137286.0,0.0,0.0,0.0
2021-05-28,181199.0,138419.0,0.0,0.0,0.0
2021-05-29,182148.0,138640.0,0.0,0.0,0.0
2021-05-30,182288.0,138676.0,0.0,0.0,0.0
2021-05-31,184993.0,140297.0,0.0,0.0,0.0
2021-06-01,187289.0,141818.0,5.0,0.0,0.0
2021-06-02,189395.0,143172.0,26.0,0.0,0.0
2021-06-03,191138.0,144349.0,74.0,0.0,0.0
2021-06-04,192710.0,145689.0,111.0,0.0,0.0
2021-06-05,193390.0,146005.0,127.0,0.0,0.0
2021-06-06,193429.0,146013.0,127.0,0.0,0.0
2021-06-07,195147.0,147740.0,201.0,0.0,0.0
2021-06-08,196605.0,149263.0,262.0,0.0,0.0
2021-06-09,198116.0,150740.0,343.0,0.0,0.0
2021-06-10,199624.0,152104.0,412.0,0.0,0.0
2021-06-11,200969.0,153607.0,412.0,0.0,0.0
2021-06-12,201430.0,153811.0,412.0,0.0,0.0
2021-06-13,201435.0,153812.0,412.0,0.0,0.0
2021-06-14,203206.0,155305.0,412.0,0.0,0.0
2021-06-15,204498.0,156786.0,412.0,0.0,0.0
2021-06-16,206003.0,158312.0,412.0,0.0,0.0
2021-06-17,207084.0,159663.0,412.0,0.0,0.0
2021-06-18,208135.0,160329.0,412.0,0.0,0.0
2021-06-19,208469.0,160757.0,412.0,0.0,0.0
2021-06-20,208491.0,160759.0,412.0,0.0,0.0
2021-06-21,208499.0,160782.0,412.0,0.0,0.0
2021-06-22,210070.0,164287.0,412.0,0.0,0.0
2021-06-23,211900.0,167503.0,412.0,0.0,0.0
2021-06-24,213721.0,170255.0,412.0,0.0,0.0
2021-06-25,215305.0,172697.0,499.0,0.0,0.0
2021-06-26,215591.0,173533.0,568.0,0.0,0.0
2021-06-27,215621.0,173559.0,568.0,0.0,0.0
2021-06-28,215664.0,173666.0,568.0,0.0,0.0
2021-06-29,216623.0,177093.0,1142.0,0.0,0.0
2021-06-30,217368.0,179731.0,1989.0,0.0,0.0
2021-07-01,218437.0,181631.0,2636.0,0.0,0.0
2021-07-02,219275.0,183333.0,3263.0,0.0,0.0
2021-07-03,219441.0,183790.0,3425.0,0.0,0.0
2021-07-04,219452.0,183807.0,3425.0,0.0,0.0
2021-07-05,220290.0,185905.0,4186.0,0.0,0.0
2021-07-06,221298.0,187533.0,4687.0,0.0,0.0
2021-07-07,222706.0,189143.0,4908.0,0.0,0.0
2021-07-08,223989.0,190760.0,5019.0,0.0,0.0
2021-07-09,225475.0,192273.0,5050.0,0.0,0.0
2021-07-10,225921.0,192690.0,5055.0,0.0,0.0
2021-07-11,225926.0,192696.0,5055.0,0.0,0.0
2021-07-12,227568.0,194557.0,5104.0,0.0,0.0
2021-07-13,229388.0,195891.0,5139.0,0.0,0.0
2021-07-14,230941.0,197432.0,5145.0,0.0,0.0
2021-07-15,232382.0,199027.0,5156.0,0.0,0.0
2021-07-16,232402.0,199040.0,5156.0,0.0,0.0
2021-07-17,232753.0,199476.0,5159.0,0.0,0.0
2021-07-18,232753.0,199480.0,5159.0,0.0,0.0
2021-07-19,234528.0,200680.0,5163.0,0.0,0.0
2021-07-20,236109.0,202218.0,5168.0,0.0,0.0
2021-07-21,237557.0,203840.0,5169.0,0.0,0.0
2021-07-22,239482.0,205549.0,5170.0,0.0,0.0
2021-07-23,241167.0,207110.0,5171.0,0.0,0.0
2021-07-24,241586.0,207396.0,5171.0,0.0,0.0
2021-07-25,241599.0,207404.0,5171.0,0.0,0.0
2021-07-26,243255.0,208347.0,5178.0,0.0,0.0
2021-07-27,244819.0,209412.0,5185.0,0.0,0.0
2021-07-28,246122.0,210352.0,5186.0,0.0,0.0
2021-07-29,247238.0,211509.0,5186.0,0.0,0.0
2021-07-30,248330.0,212453.0,5186.0,0.0,0.0
2021-07-31,248700.0,212670.0,5186.0,0.0,0.0
2021-08-01,248713.0,212673.0,5186.0,0.0,0.0
2021-08-02,249778.0,213534.0,5186.0,0.0,0.0
2021-08-03,251076.0,214603.0,5186.0,0.0,0.0
2021-08-04,251670.0,216022.0,5186.0,0.0,0.0
2021-08-05,252076.0,217092.0,5186.0,0.0,0.0
2021-08-06,252396.0,218279.0,5186.0,0.0,0.0
2021-08-07,252538.0,218624.0,5186.0,0.0,0.0
2021-08-08,252542.0,218626.0,5186.0,0.0,0.0
2021-08-09,253582.0,219892.0,5187.0,0.0,0.0
2021-08-10,254472.0,220484.0,5189.0,0.0,0.0
2021-08-11,254789.0,221753.0,5191.0,679.0,0.0
2021-08-12,255065.0,222651.0,5191.0,1578.0,0.0
2021-08-13,255333.0,223173.0,5195.0,2569.0,0.0
2021-08-14,255470.0,223403.0,5195.0,2647.0,0.0
2021-08-15,255471.0,223411.0,5195.0,2647.0,0.0
2021-08-16,256378.0,224200.0,5195.0,4411.0,0.0
2021-08-17,257079.0,225030.0,5240.0,6736.0,0.0
2021-08-18,257163.0,226703.0,5477.0,8456.0,0.0
2021-08-19,257239.0,228263.0,5826.0,10245.0,0.0
2021-08-20,257298.0,230100.0,6185.0,11809.0,0.0
2021-08-21,257333.0,230528.0,6327.0,11975.0,0.0
2021-08-22,257358.0,230598.0,6404.0,12016.0,0.0
2021-08-23,257451.0,231607.0,7087.0,12839.0,0.0
2021-08-24,257516.0,232544.0,7503.0,13361.0,0.0
2021-08-25,257597.0,233749.0,7945.0,14113.0,0.0
2021-08-26,257664.0,235016.0,8333.0,15189.0,0.0
2021-08-27,257742.0,237252.0,8661.0,16140.0,0.0
2021-08-28,257785.0,237764.0,8826.0,16251.0,0.0
2021-08-29,257797.0,237821.0,8911.0,16266.0,0.0
2021-08-30,257921.0,239162.0,9455.0,17274.0,0.0
2021-08-31,258012.0,240325.0,9973.0,18268.0,0.0
2021-09-01,258095.0,241443.0,10368.0,19399.0,0.0
2021-09-02,258173.0,242223.0,10719.0,20315.0,0.0
2021-09-03,258253.0,242897.0,11015.0,21227.0,0.0
2021-09-04,258273.0,243074.0,11112.0,21331.0,0.0
2021-09-05,258273.0,243079.0,11112.0,21332.0,0.0
2021-09-06,258342.0,243883.0,11496.0,22434.0,0.0
2021-09-07,258413.0,244608.0,11895.0,23681.0,0.0
2021-09-08,258451.0,245178.0,12141.0,25056.0,0.0
2021-09-09,258483.0,245652.0,12384.0,26101.0,0.0
2021-09-10,258532.0,246104.0,12603.0,27118.0,0.0
2021-09-11,258550.0,246239.0,12691.0,27230.0,0.0
2021-09-12,258550.0,246239.0,12691.0,27230.0,0.0
2021-09-13,259006.0,247069.0,13038.0,28545.0,0.0
2021-09-14,259485.0,247797.0,13391.0,30033.0,0.0
2021-09-15,260069.0,248251.0,13790.0,31195.0,0.0
2021-09-16,260429.0,248512.0,14109.0,31811.0,0.0
2021-09-17,260429.0,248513.0,14110.0,31812.0,0.0
2021-09-18,260429.0,248513.0,14110.0,31812.0,0.0
2021-09-19,260429.0,248513.0,14110.0,31812.0,0.0
2021-09-20,261100.0,248869.0,14470.0,32679.0,0.0
2021-09-21,261713.0,249164.0,14810.0,33746.0,0.0
2021-09-22,262534.0,249406.0,15112.0,34979.0,0.0
2021-09-23,263189.0,249602.0,15351.0,36220.0,0.0
2021-09-24,264023.0,249808.0,15549.0,37352.0,0.0
2021-09-25,264156.0,249865.0,15620.0,37454.0,0.0
2021-09-26,264156.0,249865.0,15620.0,37457.0,0.0
2021-09-27,265855.0,250104.0,15858.0,38366.0,0.0
2021-09-28,267882.0,250360.0,16116.0,39408.0,0.0
2021-09-29,270119.0,250572.0,16323.0,40292.0,0.0
2021-09-30,272115.0,250768.0,16466.0,41078.0,0.0
2021-10-01,274303.0,250944.0,16600.0,41849.0,0.0
2021-10-02,274738.0,250990.0,16638.0,41932.0,0.0
2021-10-03,274741.0,250991.0,16641.0,41936.0,0.0
2021-10-04,276387.0,251212.0,16720.0,42773.0,0.0
2021-10-05,277654.0,251399.0,16855.0,43558.0,0.0
2021-10-06,279037.0,251546.0,16953.0,44251.0,0.0
2021-10-07,280396.0,251680.0,17057.0,45006.0,0.0
2021-10-08,281727.0,251841.0,17149.0,45910.0,0.0
2021-10-09,281950.0,251873.0,17189.0,46028.0,0.0
2021-10-10,281952.0,251873.0,17190.0,46029.0,0.0
2021-10-11,281958.0,251875.0,17190.0,46037.0,0.0
2021-10-12,282991.0,252403.0,17303.0,47280.0,0.0
2021-10-13,284145.0,252989.0,17383.0,48797.0,0.0
2021-10-14,285245.0,253361.0,17460.0,50342.0,0.0
2021-10-15,286116.0,253608.0,17536.0,52031.0,0.0
2021-10-16,286244.0,253639.0,17537.0,52193.0,0.0
2021-10-17,286246.0,253639.0,17539.0,52196.0,0.0
2021-10-18,287309.0,254159.0,17621.0,54064.0,0.0
2021-10-19,288300.0,254715.0,17705.0,56032.0,0.0
2021-10-20,289047.0,255334.0,17784.0,58163.0,0.0
2021-10-21,289870.0,255872.0,17843.0,60407.0,0.0
2021-10-22,290523.0,256512.0,17939.0,63513.0,0.0
2021-10-23,290631.0,256596.0,17939.0,63859.0,0.0
2021-10-24,290644.0,256601.0,17939.0,63864.0,0.0
2021-10-25,291498.0,257632.0,18040.0,66675.0,0.0
2021-10-26,292258.0,258958.0,18120.0,69838.0,0.0
2021-10-27,292955.0,260444.0,18211.0,72882.0,0.0
2021-10-28,293774.0,261957.0,18239.0,75761.0,0.0
2021-10-29,294330.0,263483.0,18266.0,79047.0,0.0
2021-10-30,294406.0,263660.0,18267.0,79471.0,0.0
2021-10-31,294406.0,263663.0,18271.0,79485.0,0.0
2021-11-01,294407.0,263670.0,18277.0,79512.0,0.0
2021-11-02,295039.0,265124.0,18392.0,82516.0,0.0
2021-11-03,295756.0,266693.0,18469.0,85449.0,0.0
2021-11-04,296505.0,268101.0,18547.0,88486.0,0.0
2021-11-05,297245.0,269488.0,18612.0,91506.0,0.0
2021-11-06,297326.0,269640.0,18616.0,91850.0,0.0
2021-11-07,297326.0,269643.0,18616.0,91861.0,0.0
2021-11-08,298198.0,270629.0,18709.0,94468.0,0.0
2021-11-09,298915.0,271603.0,18818.0,96906.0,0.0
2021-11-10,299572.0,272569.0,18826.0,98986.0,0.0
2021-11-11,300081.0,273362.0,18832.0,101101.0,0.0
2021-11-12,300715.0,274392.0,18836.0,103561.0,0.0
2021-11-13,300872.0,274574.0,18836.0,104141.0,0.0
2021-11-14,300872.0,274575.0,18836.0,104170.0,0.0
2021-11-15,301627.0,275528.0,18844.0,106644.0,0.0
2021-11-16,302333.0,276443.0,18846.0,108859.0,0.0
2021-11-17,302999.0,277264.0,18852.0,110927.0,0.0
2021-11-18,303652.0,277977.0,18853.0,112885.0,0.0
2021-11-19,304211.0,278731.0,18858.0,114776.0,0.0
2021-11-20,304305.0,278827.0,18858.0,115239.0,0.0
2021-11-21,304308.0,278836.0,18859.0,115246.0,0.0
2021-11-22,304970.0,279523.0,18863.0,117244.0,0.0
2021-11-23,305515.0,280228.0,18863.0,119083.0,0.0
2021-11-24,306057.0,280983.0,18866.0,120716.0,0.0
2021-11-25,306462.0,281623.0,18870.0,122186.0,0.0
2021-11-26,306953.0,282240.0,18872.0,123932.0,0.0
2021-11-27,307051.0,282375.0,18873.0,124460.0,0.0
2021-11-28,307052.0,282378.0,18873.0,124494.0,0.0
2021-11-29,307641.0,282849.0,18875.0,126830.0,0.0
2021-11-30,308066.0,283413.0,18875.0,129477.0,0.0
2021-12-01,308495.0,284083.0,18879.0,131904.0,0.0
2021-12-02,308909.0,284671.0,18880.0,134002.0,0.0
2021-12-03,309264.0,285273.0,18880.0,136200.0,0.0
2021-12-04,309356.0,285414.0,18880.0,136918.0,0.0
2021-12-05,309356.0,285414.0,18880.0,136951.0,0.0
2021-12-06,309943.0,286103.0,18882.0,139172.0,0.0
