Fecha,Positividad Alto Hospicio,Positividad Camiña,Positividad Colchane,Positividad Huara,Positividad Iquique,Positividad Pica,Positividad Pozo Almonte
2020-05-25,,,,,,,
2020-05-26,,,,,,,
2020-05-27,,,,,,,
2020-05-28,,,,,,,
2020-05-29,,,,,,,
2020-05-30,,,,,,,
2020-05-31,,,,,,,
2020-06-01,,,,,,,
2020-06-02,,,,,,,
2020-06-03,,,,,,,
2020-06-04,,,,,,,
2020-06-05,,,,,,,
2020-06-06,,,,,,,
2020-06-07,,,,,,,
2020-06-08,,,,,,,
2020-06-09,,,,,,,
2020-06-10,,,,,,,
2020-06-11,,,,,,,
2020-06-12,,,,,,,
2020-06-13,,,,,,,
2020-06-14,,,,,,,
2020-06-15,,,,,,,
2020-06-16,,,,,,,
2020-06-17,,,,,,,
2020-06-18,,,,,,,
2020-06-19,,,,,,,
2020-06-20,,,,,,,
2020-06-21,,,,,,,
2020-06-22,,,,,,,
2020-06-23,,,,,,,
2020-06-24,,,,,,,
2020-06-25,,,,,,,
2020-06-26,,,,,,,
2020-06-27,,,,,,,
2020-06-28,,,,,,,
2020-06-29,,,,,,,
2020-06-30,,,,,,,
2020-07-01,,,,,,,
2020-07-02,,,,,,,
2020-07-03,,,,,,,
2020-07-04,,,,,,,
2020-07-05,,,,,,,
2020-07-06,,,,,,,
2020-07-07,,,,,,,
2020-07-08,,,,,,,
2020-07-09,,,,,,,
2020-07-10,,,,,,,
2020-07-11,,,,,,,
2020-07-12,,,,,,,
2020-07-13,,,,,,,
2020-07-14,,,,,,,
2020-07-15,,,,,,,
2020-07-16,,,,,,,
2020-07-17,,,,,,,
2020-07-18,,,,,,,
2020-07-19,,,,,,,
2020-07-20,,,,,,,
2020-07-21,,,,,,,
2020-07-22,,,,,,,
2020-07-23,,,,,,,
2020-07-24,,,,,,,
2020-07-25,,,,,,,
2020-07-26,,,,,,,
2020-07-27,,,,,,,
2020-07-28,,,,,,,
2020-07-29,,,,,,,
2020-07-30,,,,,,,
2020-07-31,,,,,,,
2020-08-01,,,,,,,
2020-08-02,,,,,,,
2020-08-03,,,,,,,
2020-08-04,,,,,,,
2020-08-05,,,,,,,
2020-08-06,,,,,,,
2020-08-07,,,,,,,
2020-08-08,,,,,,,
2020-08-09,,,,,,,
2020-08-10,,,,,,,
2020-08-11,,,,,,,
2020-08-12,,,,,,,
2020-08-13,,,,,,,
2020-08-14,,,,,,,
2020-08-15,,,,,,,
2020-08-16,,,,,,,
2020-08-17,,,,,,,
2020-08-18,,,,,,,
2020-08-19,,,,,,,
2020-08-20,,,,,,,
2020-08-21,,,,,,,
2020-08-22,,,,,,,
2020-08-23,,,,,,,
2020-08-24,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-25,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-26,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-27,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-28,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-29,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-30,12.2,3.4,14.3,16.0,11.3,21.0,13.4
2020-08-31,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-01,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-02,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-03,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-04,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-05,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-06,6.6,0.0,11.1,15.2,6.6,8.6,10.9
2020-09-07,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-08,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-09,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-10,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-11,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-12,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-13,5.2,0.0,0.0,4.0,3.7,6.2,7.4
2020-09-14,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-15,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-16,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-17,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-18,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-19,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-20,4.3,0.0,0.0,3.4,6.4,1.4,2.9
2020-09-21,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-22,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-23,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-24,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-25,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-26,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-27,4.0,0.0,0.0,1.0,3.8,6.0,2.7
2020-09-28,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-09-29,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-09-30,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-10-01,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-10-02,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-10-03,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-10-04,3.1,0.0,0.0,0.0,3.8,6.2,2.4
2020-10-05,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-06,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-07,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-08,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-09,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-10,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-11,2.6,7.4,0.0,8.7,4.1,5.5,3.9
2020-10-12,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-13,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-14,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-15,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-16,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-17,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-18,3.7,5.0,0.0,2.1,3.7,3.0,2.1
2020-10-19,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-20,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-21,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-22,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-23,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-24,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-25,4.8,6.7,0.0,0.0,3.9,2.2,4.4
2020-10-26,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-10-27,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-10-28,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-10-29,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-10-30,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-10-31,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-11-01,3.6,7.1,0.0,3.1,3.8,6.0,2.6
2020-11-02,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-03,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-04,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-05,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-06,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-07,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-08,4.1,0.0,0.0,5.9,3.8,5.8,3.2
2020-11-09,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-10,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-11,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-12,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-13,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-14,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-15,3.8,12.5,0.0,9.1,3.6,10.0,9.6
2020-11-16,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-17,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-18,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-19,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-20,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-21,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-22,4.1,4.8,0.0,7.9,3.1,3.5,6.6
2020-11-23,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-24,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-25,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-26,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-27,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-28,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-29,2.3,35.0,9.1,4.0,3.0,1.0,2.0
2020-11-30,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-01,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-02,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-03,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-04,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-05,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-06,3.7,7.9,50.0,0.0,3.3,0.0,3.0
2020-12-07,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-08,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-09,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-10,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-11,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-12,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-13,3.7,4.0,38.5,5.0,3.3,6.2,5.5
2020-12-14,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-15,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-16,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-17,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-18,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-19,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-20,6.3,50.0,0.0,14.5,5.5,1.7,6.3
2020-12-21,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-22,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-23,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-24,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-25,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-26,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-27,8.4,0.0,60.0,8.6,7.9,5.1,3.5
2020-12-28,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2020-12-29,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2020-12-30,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2020-12-31,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2021-01-01,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2021-01-02,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2021-01-03,12.1,0.0,20.0,0.0,10.2,7.4,8.6
2021-01-04,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-05,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-06,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-07,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-08,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-09,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-10,15.8,18.8,0.0,10.5,13.6,3.5,9.3
2021-01-11,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-12,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-13,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-14,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-15,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-16,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-17,16.2,12.5,0.0,3.6,14.8,21.0,9.0
2021-01-18,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-19,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-20,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-21,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-22,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-23,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-24,16.2,21.7,0.0,18.4,13.9,16.8,9.8
2021-01-25,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-01-26,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-01-27,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-01-28,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-01-29,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-01-30,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-01-31,14.7,11.1,27.3,19.3,13.2,9.0,14.5
2021-02-01,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-02,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-03,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-04,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-05,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-06,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-07,13.7,0.0,36.4,2.8,12.6,13.6,12.6
2021-02-08,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-09,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-10,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-11,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-12,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-13,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-14,10.2,6.2,66.7,5.7,10.1,12.5,8.8
2021-02-15,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-16,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-17,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-18,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-19,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-20,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-21,10.9,21.1,0.0,27.3,11.4,10.1,14.5
2021-02-22,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-02-23,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-02-24,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-02-25,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-02-26,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-02-27,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-02-28,10.1,8.3,11.1,26.6,12.0,16.7,7.9
2021-03-01,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-02,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-03,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-04,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-05,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-06,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-07,10.7,44.4,25.0,8.9,9.2,8.6,12.6
2021-03-08,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-09,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-10,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-11,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-12,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-13,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-14,8.7,6.2,0.0,12.1,9.0,18.8,8.1
2021-03-15,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-16,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-17,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-18,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-19,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-20,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-21,10.1,18.2,0.0,12.1,10.9,13.5,8.3
2021-03-22,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-23,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-24,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-25,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-26,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-27,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-28,9.9,20.8,0.0,7.0,10.2,10.1,3.8
2021-03-29,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-03-30,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-03-31,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-04-01,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-04-02,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-04-03,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-04-04,12.3,7.1,25.0,6.2,12.8,6.0,7.8
2021-04-05,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-06,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-07,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-08,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-09,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-10,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-11,12.4,0.0,0.0,23.3,13.6,6.7,9.0
2021-04-12,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-13,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-14,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-15,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-16,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-17,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-18,15.5,14.3,20.0,12.3,11.9,13.0,9.4
2021-04-19,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-20,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-21,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-22,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-23,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-24,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-25,10.7,13.3,11.8,5.6,9.7,12.1,9.9
2021-04-26,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-04-27,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-04-28,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-04-29,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-04-30,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-05-01,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-05-02,9.2,42.1,11.8,10.9,9.3,12.6,5.6
2021-05-03,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-04,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-05,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-06,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-07,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-08,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-09,9.6,35.0,0.0,3.2,7.9,7.8,9.0
2021-05-10,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-11,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-12,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-13,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-14,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-15,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-16,9.0,27.8,0.0,5.9,8.0,6.8,3.9
2021-05-17,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-18,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-19,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-20,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-21,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-22,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-23,7.0,8.3,0.0,16.0,7.1,6.6,3.3
2021-05-24,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-25,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-26,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-27,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-28,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-29,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-30,5.8,12.5,16.7,8.6,6.7,2.7,1.1
2021-05-31,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-01,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-02,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-03,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-04,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-05,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-06,5.6,19.0,0.0,4.0,5.0,6.4,6.2
2021-06-07,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-08,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-09,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-10,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-11,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-12,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-13,5.1,37.0,12.5,7.4,5.7,7.7,3.4
2021-06-14,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-15,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-16,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-17,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-18,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-19,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-20,4.2,20.8,0.0,9.0,4.8,6.7,5.5
2021-06-21,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-22,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-23,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-24,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-25,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-26,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-27,3.7,8.3,0.0,10.6,4.8,7.6,3.0
2021-06-28,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-06-29,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-06-30,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-07-01,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-07-02,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-07-03,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-07-04,3.7,25.0,37.5,5.4,3.6,4.2,3.4
2021-07-05,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-06,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-07,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-08,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-09,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-10,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-11,2.8,2.9,0.0,6.1,3.1,3.3,2.4
2021-07-12,2.0,13.7,0.0,13.1,2.6,2.5,1.9
2021-07-13,2.0,13.7,0.0,13.1,2.6,2.5,1.9
2021-07-14,2.0,13.7,0.0,13.1,2.6,2.5,1.9
2021-07-15,2.0,13.7,0.0,13.1,2.6,2.5,1.9
